"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"Z005E0016",41.407697422787,132.284431304277,32.0415299227703,12.8846361627153,73.043621226218,6.9422225,903.608055,896.6633325,5.94077612733705,797,104.5,287.5,65,3.16078068550917,11.835078741422,70.5402523885481,NA,0.86473649885544,150,1.81857637417577,122.323500777993,9.85801426426351,282.712491631153,384,6,NA,72.5,3.98307012793367
"Z005E0017",43.7915955819674,107.079005734386,NA,16.7076744948914,77.7330838030432,46.6269757426244,1025.40618302851,978.95055783576,2.94077612733705,735.303278488101,69.258457307065,247.495229530357,64.2036014082141,NA,NA,NA,NA,0.86473649885544,201.615700738489,0.818576374175771,100.989223514779,10.8580142642635,214.712491631153,307.891762504946,2.3746963932817,NA,NA,3.73781095246968
"Z005E0018",47.8985860095089,146.726874077326,NA,14.6846213152132,118.553410058522,46.9058657426244,970.127293028509,923.39777783576,1.94077612733705,842,98,317.5,66.25,NA,NA,NA,NA,0.86473649885544,161.615700738489,2.81857637417577,136.625448585544,3.85801426426351,199.712491631153,425,4.5,NA,79.7583708022721,4.6917621608067
"Z005E0019",39.3985860095089,159.226874077326,NA,12.6846213152132,102.553410058522,-8.64691425737563,859.853403028509,868.67666783576,6.94077612733705,831.5,79.5,286.5,68.75,3.45921931449083,12.764921258578,63.519747611452,NA,0.86473649885544,160,1.81857637417577,156.125448585544,10.8580142642635,236.712491631153,350.5,6,NA,73.75,4.9750954938067
"Z005E0020",44.6666666666667,144.333333333333,26.0415299227703,17.3333333333333,114.166666666667,23.75,947.8172225,924.0672225,1.94077612733705,862,100.5,307,70,4.45078068550918,14.625078741422,63.6302523885481,NA,0.86473649885544,188.384299261511,1.81857637417577,132.666666666667,9.85801426426351,310.712491631153,374,6,NA,75.2416291977279,4.76666666666667
"Z005E0021",39.8333333333333,140.833333333333,20.0415299227703,12.3333333333333,71,11.52639,882.886945,871.360555,4.44077612733705,705,87.5,269.25,75,4.41078068550917,14.355078741422,66.9402523885481,NA,0.86473649885544,141.25,1.81857637417577,104.166666666667,11.8580142642635,238.712491631153,344.5,5.25,NA,72.5,5.16666666666667
"Z005E0022",38.3333333333333,136.666666666667,25.0415299227703,12,82.5,37.8172225,934.4830575,896.6633325,3.33333333333333,792,80.5,292,70,4.045,12.675,69.38,20.3931372515637,4.86473649885544,162.5,1.81857637417577,128.666666666667,8.85801426426351,254.712491631153,384,6,NA,77.5,5.81666666666667
"Z005E0023",41.657697422787,110.534431304277,22.0415299227703,12.8846361627153,66.543621226218,7.360555,947.8172225,940.4566675,4.44077612733705,785.5,99.5,262.504770469643,77.5,NA,NA,NA,NA,0.86473649885544,132.5,NA,102.573500777993,4.85801426426351,NA,327.108237495054,4.6253036067183,NA,77.5,5.78307012793367
"Z005E0024",NA,NA,32.0415299227703,14.0846510102173,130.533832393914,24.0672225,903.608055,879.5408325,-0.0592238726629486,668,97.5,342,80,NA,NA,NA,NA,0.86473649885544,130,1.81857637417577,NA,3.85801426426351,263.712491631153,418,6,NA,77.5,5.57437809506063
"Z005E0025",47.157697422787,118.284431304277,27.0415299227703,14.6346361627153,94.043621226218,8.64691425737563,933.559931971491,924.736667164239,8,743,88.5,290.504770469643,67.5,3.62921931449083,12.974921258578,67.1097476114519,NA,0.86473649885544,183.384299261511,NA,114.573500777993,7.85801426426351,NA,394.108237495054,6.62530360671831,NA,75.2416291977279,5.10807012793367
"Z005E0026",46.9168088360651,142.841988531228,33.0415299227703,16.0846510102173,137.533832393914,37.22111,942.4277775,905.2041675,5.91206330384595,888,95,299.5,75,3.65,11.775,68.37,5.72647058856373,0.86473649885544,200,1.81857637417577,132.021552970443,9.85801426426351,290.712491631153,377.5,6,NA,72.5,4.67437809506063
"Z005E0027",42.5415955819674,124.829005734386,NA,15.4576744948914,81.4830838030432,16.913335,903.2330575,886.3172225,4,792,86.5,244.5,80,3.82921931449083,13.844921258578,66.119747611452,2.39313725456373,0.86473649885544,150,0.818576374175771,115.739223514779,5.85801426426351,236.712491631153,307,6,NA,70,3.91281095246968
"Z005E0028",37.907697422787,124.534431304277,31.0415299227703,13.8846361627153,42.293621226218,101.905865742624,1012.07451302851,917.538335,4.44077612733705,778.5,99,301,72.5,4.96921931449083,15.314921258578,61.6997476114519,NA,0.86473649885544,168.384299261511,1.81857637417577,107.823500777993,9.85801426426351,289.712491631153,371,9.5,NA,80.2416291977279,1.90807012793367
"Z005E0029",41,136,27.0415299227703,13.6666666666667,89.3333333333333,33.8580575,937.47111,903.608055,6.33333333333333,827,89.5,289,71.25,4.27,15.02,67.92,8.72647058856373,0.86473649885544,155,0.818576374175771,133.333333333333,10.8580142642635,NA,326.75,3,NA,77.5,4.13333333333333
"Z005E0030",47.5507069952455,159.136562961337,33.0415299227703,17.1576893423934,126.973294970739,32.3027775,891.7066675,859.4013875,5.91206330384595,836.5,92,263.5,62.5,3.895,13.15,65.99,18.7264705915637,0.86473649885544,177.5,1.81857637417577,149.937275707228,11.8580142642635,204.712491631153,351.5,4.5,NA,75,4.32911891959665
"Z005E0031",39.0507069952455,113.136562961337,14.0415299227703,16.2307276745695,23.5338323939136,4.68475074262437,891.7066675,845.34000283576,5.91206330384595,868,92.5,275,75,3.51921931449083,12.514921258578,69.6897476114519,7.39313725456373,0.86473649885544,142.5,1.81857637417577,138.852998444013,7.85801426426351,269.712491631153,362,5,NA,72.5,5.87437809506063
