genotype,family,EarWeight_NY,GDDDaystoSilk_NY
Z004E0124,Z004,68.043621226218,859.853403028509
Z004E0125,Z004,121.412757547564,930.4566675
Z004E0126,Z004,73.0534100585223,891.7066675
Z004E0127,Z004,51.2330838030432,1036.51673802851
Z004E0128,Z004,108.793621226218,930.4566675
Z004E0129,Z004,70.7330838030432,962.074513028509
Z004E0130,Z004,97.0534100585223,917.538335
Z004E0131,Z004,60.6666666666667,910.5936125
Z004E0132,Z004,132.233083803043,970.127293028509
Z004E0133,Z004,68.543621226218,910.5936125
Z004E0134,Z004,71.4732949707389,940.4566675
Z004E0135,Z004,74.2330838030432,947.353403028509
Z004E0136,Z004,111.483083803043,912.14889
Z004E0137,Z004,94.2330838030432,1036.51673802851
Z004E0138,Z004,89.8333333333333,934.4830575
Z004E0139,Z004,97.0534100585223,935.406183028509
Z004E0140,Z004,76.543621226218,956.9830575
Z004E0141,Z004,59.7330838030432,940.4566675
Z004E0142,Z004,66.293621226218,930.4566675
Z004E0143,Z004,86.293621226218,979.4830575
Z004E0144,Z004,60.412757547564,962.9566675
Z004E0145,Z004,68.293621226218,934.4830575
Z004E0146,Z004,94.793621226218,924.0672225
Z004E0147,Z004,101.053410058522,864.6922225
Z004E0148,Z004,81.412757547564,951.8436125
Z004E0149,Z004,79.2330838030432,992.353403028509
Z004E0150,Z004,82.7330838030432,972.8172225
Z004E0151,Z004,88.1666666666667,940.4566675
Z004E0152,Z004,52.7330838030432,992.353403028509
Z004E0153,Z004,62.9830838030432,970.127293028509
Z004E0154,Z004,89.2330838030432,1036.51673802851
Z004E0155,Z004,91.043621226218,917.538335
Z004E0156,Z004,39.2330838030432,947.353403028509
Z004E0157,Z004,88.412757547564,992.353403028509
Z004E0158,Z004,75.5,947.8172225
Z004E0159,Z004,84.793621226218,982.538335
Z004E0160,Z004,107.166666666667,910.1369425
Z004E0161,Z004,44.4732949707388,906.9013875
Z004E0162,Z004,66.293621226218,906.9013875
Z004E0163,Z004,94.3333333333333,900.2475
Z004E0164,Z004,88.293621226218,914.8725
Z004E0165,Z004,53.5534100585223,930.4566675
Z004E0166,Z004,109.666666666667,917.3172225
Z004E0167,Z004,88.2330838030431,1036.51673802851
Z004E0168,Z004,90.7330838030432,917.538335
Z004E0169,Z004,NA,985.038335
Z004E0170,Z004,88.7330838030432,927.353403028509
Z004E0171,Z004,NA,951.8436125
Z004E0172,Z004,48.9732949707388,975.3172225
Z004E0173,Z004,43.293621226218,980.406183028509
Z004E0174,Z004,65.4732949707388,962.9566675
Z004E0175,Z004,69.2330838030432,956.9830575
Z004E0176,Z004,37.543621226218,985.038335
Z004E0177,Z004,102.793621226218,917.3172225
Z004E0178,Z004,110.553410058522,946.4541675
Z004E0179,Z004,59,956.9830575
Z004E0180,Z004,92.2330838030432,901.516738028509
Z004E0181,Z004,159.053410058522,861.636945
Z004E0182,Z004,79.412757547564,992.353403028509
Z004E0183,Z004,100.543621226218,905.2041675
Z004E0184,Z004,48.0534100585223,992.353403028509
Z004E0185,Z004,97.2330838030432,927.353403028509
Z004E0186,Z004,67.3333333333333,962.074513028509
Z004E0187,Z004,80.793621226218,934.4830575
Z004E0188,Z004,76.4732949707388,934.4830575
Z004E0189,Z004,76.293621226218,947.8172225
Z004E0190,Z004,42.5338323939136,980.406183028509
Z004E0191,Z004,94.4732949707388,913.72111
Z004E0192,Z004,53.0534100585223,951.8436125
Z004E0193,Z004,63.5534100585223,917.538335
Z004E0194,Z004,64.0534100585223,903.2330575
Z004E0195,Z004,67.293621226218,980.406183028509
Z004E0196,Z004,58.412757547564,1031.51673802851
Z004E0197,Z004,63.1666666666667,935.406183028509
Z004E0198,Z004,129.043621226218,917.538335
Z004E0199,Z004,85.5534100585223,917.538335
Z004E0200,Z004,78.793621226218,933.559931971491
Z004E0201,Z004,107.859259266667,873.29888125
Z004E0202,Z004,2.05341005852234,985.038335
Z004E0208,Z004,NA,NA
Z004E0232,Z004,154.053410058522,NA
Z008E0001,Z008,73.043621226218,947.8172225
Z008E0002,Z008,31,985.038335
Z008E0003,Z008,48.5338323939136,1036.51673802851
Z008E0004,Z008,90.793621226218,985.038335
Z008E0005,Z008,85.8333333333333,930.4566675
Z008E0006,Z008,85.1666666666667,934.4830575
Z008E0007,Z008,68.3333333333333,947.8172225
Z008E0008,Z008,78.3333333333333,930.4566675
Z008E0009,Z008,88.293621226218,935.0672225
Z008E0010,Z008,103.333333333333,947.8172225
Z008E0011,Z008,44.793621226218,985.038335
Z008E0012,Z008,44.543621226218,979.4830575
Z008E0013,Z008,60.793621226218,929.0936125
Z008E0014,Z008,53.043621226218,980.406183028509
