genotype,family,EarDiameter_NY,EarWeight_NY,KernelWeight_NY,PlantHeight_NY,GDDDaystoSilk_NY
Z001E0096,Z001,46.657697422787,119.293621226218,5.08307012793367,190,800.456665
Z001E0097,Z001,46.8007069952455,148.973294970739,5.30411891959665,190,842.3725
Z001E0098,Z001,44,107,4.46666666666667,180,804.2619425
Z001E0099,Z001,44.8985860095089,66.793621226218,4.8917621608067,132.5,891.7066675
Z001E0100,Z001,39.6666666666667,68.6666666666667,3.6,160,814.8580575
Z001E0101,Z001,39,89,5.38333333333334,162.5,778.163335
Z001E0102,Z001,47.3985860095089,103.293621226218,5.28307012793367,172.5,896.7066675
Z001E0103,Z001,37.6666666666667,92.6666666666667,4.71666666666667,170,856.22111
Z001E0104,Z001,41.407697422787,95.543621226218,3.75807012793367,127.5,804.2619425
Z001E0105,Z001,35.9168088360651,62.5338323939136,NA,137.5,896.7066675
Z001E0106,Z001,42.5415955819674,120.483083803043,5.68781095246968,182.5,885.038335
Z001E0107,Z001,43.407697422787,112.460287876218,5.23307012793367,160,854.72111
Z001E0108,Z001,39.907697422787,65.293621226218,4.95807012793367,162.5,803.1080575
Z001E0109,Z001,39.907697422787,99.043621226218,4.83307012793367,197.5,790.406183028509
Z001E0110,Z001,47.8985860095089,138.053410058522,4.78307012793367,187.5,877.64889
Z001E0111,Z001,45.8333333333333,140.333333333333,4.36666666666667,211.25,824.2619425
Z001E0112,Z001,36.7915955819674,81.9830838030432,3.91281095246968,121.615700738489,803.742848028509
Z001E0113,Z001,43.1666666666667,86.1666666666667,5.03333333333333,160,879.64889
Z001E0114,Z001,44.1666666666667,128.333333333333,5.08333333333334,165,910.5936125
Z001E0115,Z001,39,87,3.63333333333333,165,834.97111
Z001E0116,Z001,42.3333333333333,113.333333333333,3.91666666666667,210.83333335,837.8316675
Z001E0117,Z001,44.657697422787,118.293621226218,5.33307012793367,168.75,846.5527775
Z001E0118,Z001,42.157697422787,132.793621226218,5.40807012793367,127.5,897.1922225
Z001E0119,Z001,47.6666666666667,123.666666666667,5.31666666666666,165,843.4422225
Z001E0120,Z001,40.907697422787,131.793621226218,4.85807012793367,170,836.516738028509
Z001E0121,Z001,44.5,86.3333333333333,5.13333333333333,192.5,855.110555
Z001E0122,Z001,39,103,4.91666666666667,174.16666665,913.72111
Z001E0123,Z001,42.657697422787,118.293621226218,5.30807012793367,187.5,843.4422225
Z001E0124,Z001,44.6666666666667,80.6666666666667,5.35,145,891.9541675
Z001E0125,Z001,43.907697422787,76.293621226218,6.40807012793367,192.5,834.97111
Z001E0126,Z001,39.907697422787,78.543621226218,4.35807012793367,125,891.7066675
Z001E0127,Z001,42.657697422787,90.043621226218,3.83307012793367,170,885.038335
Z001E0128,Z001,41.157697422787,96.043621226218,5.03307012793367,170,843.4422225
Z001E0129,Z001,39.157697422787,69.543621226218,3.63307012793367,155,803.742848028509
Z001E0130,Z001,41.9168088360651,55.5338323939136,2.87437809506063,150,872.906183028509
Z001E0131,Z001,42.157697422787,136.793621226218,5.38307012793367,157.5,837.913335
Z001E0132,Z001,43.407697422787,43.043621226218,5.00807012793367,185,886.0672225
Z001E0133,Z001,42.407697422787,87.543621226218,4.65807012793367,162.5,866.1225
Z001E0134,Z001,41.907697422787,59.126954561218,3.93307012793367,132.5,889.3027775
Z001E0135,Z001,35.157697422787,73.793621226218,4.18307012793367,150,876.5672225
Z001E0136,Z001,42.407697422787,93.793621226218,4.43307012793367,157.5,859.4541675
Z001E0137,Z001,46.407697422787,120.543621226218,5.13307012793367,162.5,855.110555
Z001E0138,Z001,43.907697422787,84.543621226218,5.08307012793367,149.16666665,862.6369425
Z001E0139,Z001,44,114.666666666667,4.72222222233333,170,808.9277775
Z001E0140,Z001,44.407697422787,138.543621226218,4.08307012793367,165,851.2186125
Z001E0141,Z001,38.8333333333333,96.6666666666667,3.5,142.5,834.4566675
Z001E0142,Z001,40.5507069952455,78.4732949707388,4.77911891959665,167.5,886.3172225
