Taxon,Location,Year,EarWeight,DaysToSilk
Z003E0155,NY,2007,NA,904.163335
Z003E0156,NY,2006,46,NA
Z003E0156,NY,2007,44,994.163335
Z003E0157,NY,2006,NA,964.80278
Z003E0157,NY,2007,NA,1005.27389
Z003E0158,NY,2006,66,964.80278
Z003E0158,NY,2007,NA,828.610555
Z003E0159,NY,2006,73,964.80278
Z003E0159,NY,2007,NA,930.831665
Z003E0160,NY,2006,75,930.47111
Z003E0160,NY,2007,NA,841.663335
Z003E0161,NY,2006,55,964.80278
Z003E0161,NY,2007,NA,1005.27389
Z003E0162,NY,2006,NA,NA
Z003E0162,NY,2007,61,870.27389
Z003E0163,NY,2006,46,964.80278
Z003E0163,NY,2007,115,916.110555
Z003E0164,NY,2006,NA,954.02389
Z003E0164,NY,2007,NA,883.331665
Z003E0165,NY,2006,NA,964.80278
Z003E0165,NY,2007,35.5,961.110555
Z003E0166,NY,2006,58,964.80278
Z003E0166,NY,2007,104,805.27389
Z003E0167,NY,2006,NA,964.80278
Z003E0167,NY,2007,45,883.331665
Z003E0168,NY,2006,65,913.634445
Z003E0168,NY,2007,66,818.610555
Z003E0169,NY,2006,NA,NA
Z003E0169,NY,2007,66,994.163335
Z003E0170,NY,2006,35,NA
Z003E0170,NY,2007,NA,856.384445
Z003E0171,NY,2006,NA,964.80278
Z003E0171,NY,2007,44,961.110555
Z003E0172,NY,2006,NA,964.80278
Z003E0172,NY,2007,69,1005.27389
Z003E0173,NY,2006,35,964.80278
Z003E0173,NY,2007,93,883.331665
Z003E0174,NY,2006,40,964.80278
Z003E0174,NY,2007,NA,1005.27389
Z003E0175,NY,2006,50,944.110555
Z003E0175,NY,2007,NA,856.384445
Z003E0176,NY,2006,20,NA
Z003E0176,NY,2007,NA,938.884445
Z003E0177,NY,2006,NA,964.80278
Z003E0177,NY,2007,26,904.163335
Z003E0178,NY,2006,NA,964.80278
Z003E0178,NY,2007,90,949.163335
Z003E0179,NY,2006,NA,954.02389
Z003E0179,NY,2007,35,938.884445
Z003E0180,NY,2006,42,964.80278
Z003E0180,NY,2007,NA,938.884445
Z003E0181,NY,2006,123,924.110555
Z003E0181,NY,2007,NA,828.610555
Z003E0182,NY,2006,NA,954.02389
Z003E0182,NY,2007,NA,NA
Z003E0183,NY,2006,35,964.80278
Z003E0183,NY,2007,NA,961.110555
Z003E0184,NY,2006,NA,964.80278
Z003E0184,NY,2007,56,856.384445
